                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1662,                  4.949,                 4.1824,                0.00083,                0.18466,                0.00096,                0.00031,                 4.2592,                 4.3732,                 4.1383,              0.0033198,              0.0033198,              0.0033198
                      2,                 3.8467,                 4.5056,                 3.8626,                 0.2019,                0.07956,                0.00145,                 0.0004,                 3.5659,                 4.0759,                 3.5513,              0.0066312,              0.0066312,              0.0066312
                      3,                 3.2404,                 4.1117,                 3.3497,                0.60614,                0.01381,                0.00724,                0.00206,                 3.4217,                 4.3954,                 3.3683,              0.0099205,              0.0099205,              0.0099205
                      4,                 2.8494,                 3.7887,                  2.936,                 0.6457,                0.06482,                0.02112,                0.00574,                 2.7734,                 3.8866,                 2.7804,               0.009901,               0.009901,               0.009901
                      5,                  2.576,                 3.4617,                 2.6862,                0.27962,                0.11207,                0.05326,                0.01506,                 2.7044,                 3.7115,                 2.7033,               0.009901,               0.009901,               0.009901
                      6,                 2.3466,                 3.1322,                 2.5053,                0.29635,                0.18989,                0.11845,                 0.0457,                 2.5098,                 3.3318,                 2.5743,               0.009868,               0.009868,               0.009868
                      7,                 2.1813,                 2.9124,                  2.351,                0.23866,                0.25677,                0.17371,                0.07037,                 2.1961,                 2.6829,                  2.272,               0.009835,               0.009835,               0.009835
                      8,                  2.074,                 2.7371,                 2.2326,                0.33962,                0.27005,                0.19033,                0.07352,                 2.2012,                 2.7322,                 2.2982,               0.009802,               0.009802,               0.009802
                      9,                 2.0102,                 2.6366,                 2.1716,                0.33608,                0.35209,                0.25817,                0.10728,                 2.0384,                 2.4149,                 2.1372,               0.009769,               0.009769,               0.009769
                     10,                 1.9604,                 2.5518,                 2.1253,                0.35351,                0.28743,                0.24837,                0.11772,                 2.0547,                 2.6259,                  2.166,               0.009736,               0.009736,               0.009736
                     11,                 1.9058,                 2.4857,                 2.0714,                0.30686,                0.34184,                0.28154,                0.13287,                  2.015,                 2.4118,                 2.0869,               0.009703,               0.009703,               0.009703
                     12,                 1.8659,                 2.4152,                 2.0395,                 0.3719,                 0.3089,                 0.2753,                0.11583,                 2.0279,                 2.5256,                 2.0963,                0.00967,                0.00967,                0.00967
                     13,                 1.8427,                 2.3705,                 2.0127,                0.42026,                0.33856,                0.33631,                0.16422,                  1.916,                   2.26,                 1.9941,               0.009637,               0.009637,               0.009637
                     14,                 1.7902,                 2.2943,                  1.973,                0.39571,                0.40251,                0.36378,                0.18259,                 1.8786,                 2.1593,                 1.9981,               0.009604,               0.009604,               0.009604
                     15,                 1.7938,                  2.263,                 1.9591,                0.46718,                0.41726,                0.39355,                0.19296,                 1.8653,                 2.1533,                 1.9263,               0.009571,               0.009571,               0.009571
                     16,                 1.7684,                 2.2014,                 1.9334,                0.49799,                0.43478,                0.37611,                0.18406,                 1.8344,                  2.131,                 1.9627,               0.009538,               0.009538,               0.009538
                     17,                 1.7381,                 2.1711,                 1.9207,                 0.5281,                0.39554,                0.41613,                0.21845,                   1.78,                 2.0604,                 1.9378,               0.009505,               0.009505,               0.009505
                     18,                 1.7384,                 2.1714,                 1.9184,                0.41394,                0.44755,                0.37505,                 0.1918,                 1.7628,                 2.0948,                 1.9067,               0.009472,               0.009472,               0.009472
                     19,                 1.7109,                  2.123,                 1.8955,                0.55179,                0.40469,                0.41564,                0.21067,                 1.7994,                 2.1554,                 1.9515,               0.009439,               0.009439,               0.009439
