                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1562,                 4.9568,                  4.182,                0.00088,                0.19333,                0.00105,                0.00034,                 4.2148,                 4.6462,                 4.1935,              0.0033181,              0.0033181,              0.0033181
                      2,                 3.9844,                 4.6031,                 3.9776,                0.00162,                0.09057,                0.00102,                0.00036,                 4.0159,                 4.1095,                 3.9377,              0.0066295,              0.0066295,              0.0066295
                      3,                 3.3705,                 4.1807,                   3.45,                0.80263,                0.00096,                0.00039,                0.00011,                  4.068,                 4.2839,                 4.0407,              0.0099189,              0.0099189,              0.0099189
                      4,                 2.9673,                 3.9267,                 3.0444,                 0.6239,                0.02295,                0.01493,                0.00457,                 3.0679,                 4.0851,                  3.017,               0.009901,               0.009901,               0.009901
                      5,                 2.6734,                 3.6294,                 2.7645,                0.00369,                0.19232,                0.00631,                0.00228,                 3.3262,                 4.4933,                  3.276,               0.009901,               0.009901,               0.009901
                      6,                  2.494,                 3.3714,                 2.5896,                0.28253,                 0.1234,                0.05578,                0.01808,                 2.5552,                 3.6479,                 2.5465,               0.009868,               0.009868,               0.009868
                      7,                  2.298,                  3.089,                 2.4545,                0.36173,                0.16608,                0.10314,                0.03894,                 2.3725,                 2.8905,                 2.4695,               0.009835,               0.009835,               0.009835
                      8,                 2.1806,                 2.8962,                 2.3481,                0.29194,                0.20071,                0.07643,                0.02544,                  2.389,                 4.1639,                 2.4933,               0.009802,               0.009802,               0.009802
                      9,                 2.0749,                 2.7478,                 2.2477,                0.34314,                0.21736,                0.12285,                0.05327,                 2.3355,                 3.2642,                 2.3767,               0.009769,               0.009769,               0.009769
                     10,                 2.0046,                  2.657,                 2.1899,                0.23949,                0.15119,                0.10154,                0.04129,                 2.3596,                 3.3952,                 2.4947,               0.009736,               0.009736,               0.009736
                     11,                 1.9859,                 2.5944,                 2.1536,                0.26093,                0.18175,                0.12539,                0.04543,                 2.3422,                 3.4147,                 2.4565,               0.009703,               0.009703,               0.009703
                     12,                  1.932,                 2.5267,                 2.1077,                0.38611,                0.26707,                0.24348,                0.10444,                 2.0284,                 2.4875,                 2.1517,                0.00967,                0.00967,                0.00967
                     13,                 1.8905,                 2.4556,                 2.0787,                0.31827,                0.16115,                0.13141,                0.05395,                 2.3728,                 3.4762,                 2.4744,               0.009637,               0.009637,               0.009637
                     14,                 1.8763,                  2.374,                 2.0466,                0.37658,                0.32717,                0.26563,                0.12204,                 2.0722,                 2.4613,                 2.1734,               0.009604,               0.009604,               0.009604
                     15,                 1.8368,                 2.3355,                  2.021,                0.44239,                0.34112,                0.30457,                0.14388,                 1.9427,                 2.3775,                 2.0497,               0.009571,               0.009571,               0.009571
                     16,                 1.8077,                 2.3029,                 1.9926,                0.43483,                0.39867,                0.36987,                0.17205,                 1.9008,                 2.1235,                 2.0363,               0.009538,               0.009538,               0.009538
                     17,                 1.7971,                 2.2579,                 1.9686,                0.47363,                0.39912,                0.37995,                0.18296,                 1.9067,                 2.0968,                 2.0195,               0.009505,               0.009505,               0.009505
                     18,                 1.7714,                 2.2215,                 1.9553,                 0.4769,                0.38534,                0.38906,                0.19458,                 1.8431,                 2.0619,                 1.9734,               0.009472,               0.009472,               0.009472
                     19,                 1.7591,                 2.1955,                 1.9265,                0.43559,                0.39581,                0.36747,                0.18184,                 1.8857,                 2.1476,                 2.0008,               0.009439,               0.009439,               0.009439
                     20,                 1.7412,                 2.1822,                 1.9284,                0.51123,                0.39558,                0.39761,                0.19252,                 1.8164,                 2.0934,                 1.9419,               0.009406,               0.009406,               0.009406
                     21,                  1.732,                 2.1376,                 1.9148,                0.45138,                 0.4419,                0.41045,                0.21225,                 1.7525,                 2.0038,                 1.8981,               0.009373,               0.009373,               0.009373
                     22,                 1.7107,                 2.1231,                 1.9028,                0.48047,                0.49448,                0.47582,                0.25287,                 1.7255,                 1.9432,                 1.8813,                0.00934,                0.00934,                0.00934
                     23,                 1.6913,                 2.1062,                 1.8862,                0.56211,                0.45276,                0.48521,                0.25183,                 1.7382,                 1.8852,                 1.8856,               0.009307,               0.009307,               0.009307
                     24,                 1.6845,                 2.0685,                 1.8692,                0.49095,                0.42905,                0.42003,                0.21859,                 1.8601,                 2.1755,                 1.9963,               0.009274,               0.009274,               0.009274
                     25,                 1.6728,                  2.037,                  1.862,                0.52322,                0.46274,                0.46146,                0.24254,                 1.7455,                 1.9507,                 1.9137,               0.009241,               0.009241,               0.009241
                     26,                 1.6494,                 2.0243,                 1.8517,                0.57168,                0.47515,                 0.4869,                0.26644,                 1.6817,                   1.91,                 1.8746,               0.009208,               0.009208,               0.009208
                     27,                 1.6548,                 1.9966,                 1.8436,                0.50862,                0.42343,                0.41156,                0.21562,                 1.7723,                 2.1724,                 1.9552,               0.009175,               0.009175,               0.009175
                     28,                 1.6317,                 1.9782,                 1.8354,                0.59261,                0.51251,                0.54528,                 0.2939,                 1.6444,                 1.7983,                 1.8071,               0.009142,               0.009142,               0.009142
                     29,                 1.6262,                 1.9397,                 1.8189,                 0.5927,                0.51517,                0.54135,                0.28234,                 1.6297,                 1.7959,                 1.8302,               0.009109,               0.009109,               0.009109
                     30,                 1.6139,                 1.9427,                 1.8138,                0.58686,                0.48627,                0.51908,                0.28143,                 1.6399,                 1.7844,                 1.8128,               0.009076,               0.009076,               0.009076
                     31,                 1.6083,                 1.9092,                  1.798,                0.63854,                0.51967,                0.57793,                0.31495,                 1.6072,                 1.7205,                 1.7849,               0.009043,               0.009043,               0.009043
                     32,                 1.6017,                 1.8977,                 1.7883,                0.62915,                0.53959,                0.58082,                 0.3175,                 1.5735,                 1.7324,                 1.7848,                0.00901,                0.00901,                0.00901
                     33,                 1.5891,                 1.8862,                 1.7804,                 0.5745,                0.53859,                0.56294,                0.30871,                 1.5944,                  1.734,                 1.7781,               0.008977,               0.008977,               0.008977
                     34,                 1.5926,                 1.8705,                  1.778,                 0.6071,                0.52642,                0.57859,                0.31909,                 1.5774,                 1.7489,                 1.7697,               0.008944,               0.008944,               0.008944
                     35,                 1.5709,                 1.8532,                  1.764,                0.67509,                 0.5518,                0.60614,                0.33997,                 1.5914,                  1.655,                 1.7709,               0.008911,               0.008911,               0.008911
                     36,                 1.5709,                 1.8442,                  1.765,                0.57023,                0.53432,                0.56442,                0.31814,                 1.5589,                 1.6709,                 1.7597,               0.008878,               0.008878,               0.008878
                     37,                 1.5714,                 1.8453,                 1.7587,                0.64974,                0.55305,                0.59573,                0.33454,                 1.5753,                 1.6748,                 1.7865,               0.008845,               0.008845,               0.008845
                     38,                 1.5468,                 1.8025,                 1.7389,                0.66717,                0.55273,                0.60079,                0.33243,                 1.5374,                    1.6,                 1.7151,               0.008812,               0.008812,               0.008812
                     39,                 1.5379,                 1.8025,                 1.7296,                0.59598,                0.61586,                0.63365,                0.36171,                 1.5089,                 1.5608,                 1.7132,               0.008779,               0.008779,               0.008779
                     40,                 1.5284,                 1.7851,                 1.7153,                0.67678,                0.59394,                0.64989,                0.36474,                 1.4993,                 1.5509,                 1.6914,               0.008746,               0.008746,               0.008746
                     41,                 1.5155,                 1.7645,                 1.7049,                0.67803,                 0.6027,                0.65712,                0.37614,                 1.4746,                 1.5904,                 1.6909,               0.008713,               0.008713,               0.008713
                     42,                 1.5387,                 1.7884,                 1.7311,                0.70843,                0.57336,                0.66119,                0.37777,                  1.513,                 1.5113,                 1.6948,                0.00868,                0.00868,                0.00868
                     43,                 1.5277,                 1.7736,                 1.7288,                0.67079,                0.56652,                0.61184,                0.35803,                 1.5043,                 1.6174,                 1.7004,               0.008647,               0.008647,               0.008647
                     44,                 1.5248,                   1.76,                 1.7207,                0.63859,                0.62551,                0.64976,                0.38037,                 1.4587,                 1.5015,                 1.6556,               0.008614,               0.008614,               0.008614
                     45,                 1.5071,                 1.7192,                 1.7025,                 0.6811,                0.62186,                0.68003,                0.40121,                 1.4404,                 1.4438,                 1.6501,               0.008581,               0.008581,               0.008581
                     46,                 1.5049,                 1.6909,                 1.6866,                0.68808,                0.59545,                0.66916,                0.38925,                 1.4515,                 1.4969,                 1.6587,               0.008548,               0.008548,               0.008548
                     47,                 1.5041,                 1.7457,                 1.6972,                0.70276,                0.64066,                0.70248,                0.41147,                 1.4597,                 1.4483,                 1.6591,               0.008515,               0.008515,               0.008515
                     48,                 1.4894,                 1.7112,                 1.6846,                0.70813,                0.58965,                0.64999,                0.37482,                 1.4954,                 1.6092,                 1.7066,               0.008482,               0.008482,               0.008482
                     49,                 1.4785,                 1.6654,                 1.6789,                0.67067,                0.61658,                0.66751,                0.38808,                 1.4489,                  1.475,                 1.6419,               0.008449,               0.008449,               0.008449
                     50,                 1.4718,                 1.6772,                 1.6765,                0.71573,                0.64892,                0.70387,                0.41704,                 1.4417,                 1.4126,                 1.6446,               0.008416,               0.008416,               0.008416
                     51,                 1.4616,                 1.6441,                 1.6776,                0.74485,                0.63124,                0.70922,                0.42205,                  1.376,                 1.4047,                 1.5932,               0.008383,               0.008383,               0.008383
                     52,                 1.4652,                 1.6399,                 1.6605,                0.71737,                0.64569,                0.71198,                0.42516,                 1.4209,                 1.3925,                 1.6271,                0.00835,                0.00835,                0.00835
                     53,                 1.4615,                 1.6456,                 1.6572,                0.72092,                0.65974,                0.71696,                0.42591,                 1.4283,                 1.3891,                 1.6279,               0.008317,               0.008317,               0.008317
                     54,                 1.4629,                 1.6328,                 1.6554,                0.68617,                0.64962,                0.69755,                0.41221,                  1.446,                 1.4247,                 1.6435,               0.008284,               0.008284,               0.008284
                     55,                 1.4592,                 1.6242,                  1.651,                 0.7065,                 0.6478,                0.71497,                0.44283,                 1.4007,                 1.3842,                 1.6114,               0.008251,               0.008251,               0.008251
                     56,                 1.4667,                 1.6248,                  1.657,                 0.7146,                0.64437,                 0.7229,                0.43617,                 1.3931,                 1.3737,                 1.5995,               0.008218,               0.008218,               0.008218
                     57,                  1.449,                 1.5938,                 1.6465,                0.70869,                0.66104,                0.71491,                0.42693,                 1.4085,                 1.3585,                 1.6113,               0.008185,               0.008185,               0.008185
                     58,                 1.4534,                 1.5985,                  1.643,                0.72525,                0.63172,                0.71865,                0.42957,                 1.4158,                  1.376,                 1.6058,               0.008152,               0.008152,               0.008152
                     59,                 1.4432,                 1.6051,                 1.6398,                0.76787,                 0.6213,                0.73019,                0.44257,                 1.3833,                 1.3332,                  1.581,               0.008119,               0.008119,               0.008119
                     60,                 1.4563,                 1.5982,                 1.6518,                0.74523,                0.63503,                0.72458,                0.44505,                 1.4058,                 1.3839,                  1.623,               0.008086,               0.008086,               0.008086
                     61,                 1.4439,                 1.5999,                 1.6524,                0.71641,                0.66953,                0.72667,                0.44024,                 1.3842,                 1.3856,                 1.5925,               0.008053,               0.008053,               0.008053
                     62,                 1.4339,                 1.5856,                 1.6267,                0.73762,                0.63995,                0.72573,                 0.4536,                 1.3594,                 1.3432,                 1.5861,                0.00802,                0.00802,                0.00802
