                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0876,                 5.1882,                 4.0099,                0.00114,                0.21926,                0.00189,                0.00065,                 3.7034,                 4.0796,                 3.6237,             0.00036883,             0.00036883,             0.00036883
                      2,                 3.3471,                 4.3246,                 3.3443,                0.62688,                0.04464,                0.01069,                0.00272,                  3.114,                 3.8271,                 3.1039,             0.00066598,             0.00066598,             0.00066598
                      3,                 3.0425,                 3.8247,                 3.0023,                0.45286,                0.06745,                0.02133,                0.00477,                 2.9371,                 3.8152,                 2.9053,             0.00088981,             0.00088981,             0.00088981
                      4,                 2.8072,                 3.4766,                 2.7912,                0.46871,                0.07315,                0.04726,                0.01413,                  2.763,                 3.2193,                 2.7715,             0.00078103,             0.00078103,             0.00078103
                      5,                 2.6345,                 3.2128,                 2.6532,                0.32928,                0.11043,                0.06568,                0.02398,                 2.6307,                 3.2568,                 2.6692,             0.00078103,             0.00078103,             0.00078103
                      6,                 2.5038,                 3.0585,                 2.5661,                  0.435,                0.13665,                 0.1181,                0.04876,                   2.47,                 2.9503,                 2.5028,             0.00067104,             0.00067104,             0.00067104
                      7,                 2.3908,                 2.8817,                  2.489,                0.27335,                0.21477,                0.16285,                0.06821,                 2.3732,                 2.8908,                  2.448,             0.00056105,             0.00056105,             0.00056105
                      8,                 2.3039,                 2.7492,                 2.4258,                0.28237,                0.23628,                0.19224,                0.08629,                 2.2435,                 2.6022,                 2.3615,             0.00045107,             0.00045107,             0.00045107
                      9,                 2.2086,                  2.618,                 2.3812,                0.37757,                0.28678,                 0.2612,                0.12554,                 2.1145,                 2.4002,                 2.3128,             0.00034108,             0.00034108,             0.00034108
                     10,                 2.1391,                 2.5247,                 2.3229,                0.45485,                 0.2966,                 0.2894,                0.13616,                 2.0537,                 2.3219,                 2.2829,             0.00023109,             0.00023109,             0.00023109
