                  epoch,             train/Loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),               val/Loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5013,                0.14251,                 0.1435,                0.04419,                0.01466,                 2.5274,              0.0011065,              0.0011065,              0.0011065
                      2,                  2.331,                0.27301,                0.09376,                0.04533,                0.01678,                 2.3507,              0.0010888,              0.0010888,              0.0010888
                      3,                 2.2163,                0.12472,                0.19553,                0.08974,                0.03734,                 2.3169,              0.0010888,              0.0010888,              0.0010888
                      4,                 2.1572,                0.12827,                 0.1811,                0.09599,                0.03845,                 2.2171,              0.0010666,              0.0010666,              0.0010666
                      5,                 2.0851,                0.31986,                0.18754,                0.13113,                0.05501,                 2.1178,              0.0010444,              0.0010444,              0.0010444
                      6,                 2.0223,                0.23162,                0.19193,                0.15167,                 0.0644,                 2.0849,              0.0010221,              0.0010221,              0.0010221
                      7,                 1.9932,                  0.235,                0.21793,                0.16044,                0.06727,                  2.034,             0.00099992,             0.00099992,             0.00099992
                      8,                  1.953,                0.20799,                0.25138,                0.17338,                 0.0717,                 2.0594,             0.00097771,             0.00097771,             0.00097771
                      9,                 1.9369,                0.26536,                0.30185,                0.19961,                0.09017,                 1.9443,             0.00095549,             0.00095549,             0.00095549
                     10,                 1.9146,                0.29964,                0.29482,                0.20886,                0.09467,                  1.922,             0.00093328,             0.00093328,             0.00093328
                     11,                 1.8593,                0.30186,                0.27407,                0.22105,                 0.0936,                 1.9014,             0.00091106,             0.00091106,             0.00091106
                     12,                 1.8258,                0.33896,                0.28429,                0.25932,                0.11667,                  1.868,             0.00088884,             0.00088884,             0.00088884
                     13,                 1.8301,                0.51114,                0.30682,                 0.2512,                0.11471,                 1.8106,             0.00086663,             0.00086663,             0.00086663
                     14,                 1.7845,                0.33847,                0.32342,                 0.2934,                0.13554,                 1.7807,             0.00084441,             0.00084441,             0.00084441
                     15,                 1.7765,                0.57651,                0.27148,                0.28801,                 0.1308,                 1.7873,              0.0008222,              0.0008222,              0.0008222
                     16,                 1.7479,                0.53206,                0.33135,                0.31244,                0.14502,                 1.7621,             0.00079998,             0.00079998,             0.00079998
                     17,                 1.7262,                0.60304,                0.34375,                0.33462,                0.15781,                 1.7374,             0.00077777,             0.00077777,             0.00077777
                     18,                 1.7323,                0.60388,                0.34191,                0.35088,                0.16724,                 1.6665,             0.00075555,             0.00075555,             0.00075555
                     19,                 1.6954,                0.42737,                 0.3622,                0.37114,                0.17676,                 1.6798,             0.00073334,             0.00073334,             0.00073334
                     20,                 1.7017,                0.42314,                0.37703,                 0.3709,                0.18368,                 1.6671,             0.00071112,             0.00071112,             0.00071112
                     21,                 1.6729,                0.44127,                0.37307,                0.38364,                0.18786,                 1.6459,              0.0006889,              0.0006889,              0.0006889
                     22,                 1.6602,                0.46064,                0.37998,                0.38798,                0.18985,                  1.659,             0.00066669,             0.00066669,             0.00066669
                     23,                 1.6529,                0.44013,                0.39805,                0.40166,                0.19802,                 1.6124,             0.00064447,             0.00064447,             0.00064447
                     24,                 1.6362,                 0.6492,                0.42923,                0.42785,                0.21652,                 1.5832,             0.00062226,             0.00062226,             0.00062226
                     25,                 1.6179,                0.59368,                0.42241,                0.45536,                0.22443,                 1.5975,             0.00060004,             0.00060004,             0.00060004
                     26,                 1.6243,                0.52816,                 0.4919,                0.48041,                0.23619,                 1.5859,             0.00057783,             0.00057783,             0.00057783
